Data comes from State of Indiana Survey (State Survey) and EPA's Safe Drinking Water Information System (SDWIS).,,,,,,,,,,
Water System,Responded to State Survey?,# with Lead Service Line,% with Lead Service Line,Data Source,Full Address,Latitude,Longitude,SDWIS Total # of Service Connections,SDWIS LCR 90th Percentile Sample (ppm),SDWIS PWS ID
Dyer Water Department,No,No response,Unknown,Unknown,"One Town Square, Dyer, IN 46311",41.493349,-87.520381,7180,Unknown,IN5245011
Eagles Nest Estates,No,No response,Unknown,Unknown,"877 East US 6 - Office, Ligonier, IN 46767",41.45386,-85.573649,129,Unknown,IN5257006
Eagletown Estates Mobile Home Park,No,No response,Unknown,Unknown,"17707 Eagletown Rd #38, Westfield, IN 46074",40.043674,-86.192652,38,Unknown,IN5229023
Earl Park Municipal Water Utility,No,No response,Unknown,Unknown,"P.O. Box 67, Earl Park, IN 47942",40.683663,-87.415632,170,Unknown,IN5204003
East Chicago Water Works,Yes,9000,100.00%,Estimated,"3455 Pennsylvania Avenue, East Chicago, IN 46312",41.651043,-87.445302,7200,0.0084,IN5245012
East Fork Water,Yes,0,0%,Unknown,"P.O. Box 488, Shoals, IN 47581",38.664884,-86.792466,1235,Unknown,IN5251004
East Lawrence Water Authority,Yes,0,0%,Unknown,"1009 Crawford Drive, Bedford, IN 47421",38.868682,-86.455177,3101,0.0096,IN5247002
East Monroe Water Corporation,Yes,No response,Unknown,Unknown,"3428 South Knightridge Road, Bloomington, IN 47401",39.129492,-86.443816,1383,0.0012,IN5253003
East Washington Rural Water,Yes,0,0%,Estimated,"P.O. Box 401, Salem, IN 47167",38.605613,-86.101089,3383,0.003,IN5288002
Eastern Bartholomew Water,Yes,No response,Unknown,Unknown,"P.O. Box 487, Taylorsville, IN 47280",39.295764,-85.949615,5249,0.005,IN5203004
Eastern Heights Utilities,Yes,1127,16.42%,Recorded,"P.O. Box 8, Bloomfield, IN 47424",39.027588,-86.937035,6862,0.0025,IN5228003
Eaton Water Works,No,No response,Unknown,Unknown,"600 East Harris Street, Eaton, IN 47338",40.342764,-85.349784,642,Unknown,IN5218006
Edgewood Water Department,No,No response,Unknown,Unknown,"3405 Nichol Avenue, Anderson, IN 46011",40.100968,-85.73209,915,Unknown,IN5248006
Edinburgh Water Utility,Yes,300,15.86%,Estimated,"107 South Holland Street Box 65, Edinburgh, IN 46124",39.353907,-85.965078,1892,0.0078,IN5241002
Edwardsport Water Utility,Yes,0,0%,Recorded,"4 Julius P.O. Box 275, Freelandville, IN 47535",38.860879,-87.302772,191,Unknown,IN5242005
Edwardsville Water Corporation,Yes,0,0%,Recorded,"545 Maplewood Boulevard, New Albany, IN 47151",38.283555,-85.911347,3977,0.0019,IN5222001
Elberfeld Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 37, Elberfeld, IN 47613",38.159767,-87.448348,723,Unknown,IN5287003
Elkhart Mobile Home Park,Yes,No response,Unknown,Unknown,"29200 County Road 20 West, Elkhart, IN 46517",41.658586,-86.026386,76,Unknown,IN5220007
Elkhart Public Works And Utilities,Yes,145,0.82%,Unknown,"1201 South Nappanee Street, Elkhart, IN 46516",41.676487,-86.004065,17577,0.0112,IN5220008
Ellettsville Water Works,Yes,0,0%,Recorded,"P.O. Box 8, Ellettsville, IN 47429",39.233937,-86.624297,4981,0.0025,IN5253004
Ellis Water Company Inc,Yes,0,0%,Unknown,"P.O. Box 291, Linton, IN 47441",39.034767,-87.165846,1347,Unknown,IN5228001
Elnora Water Works,No,No response,Unknown,Unknown,"P.O. Box 336 426 South Odon Street, Elnora, IN 47529",38.875801,-87.086442,265,Unknown,IN5214003
Elwood Water & Sewage,Yes,270,7.68%,Estimated,"1505 South B Street, Elwood, IN 46036-0018",40.274744,-85.840545,3516,0.004,IN5248007
English Water Works,Yes,0,0%,Unknown,"P.O. Box 258, English, IN 47118",38.353806,-86.442849,328,Unknown,IN5213002
Etna Green Water Department,Yes,34,12.36%,Estimated,"P.O. Box 183, Etna Green, IN 46524",41.278934,-86.046109,275,Unknown,IN5243003
Evansville Water Utility,Yes,1300,2.17%,Estimated and Recorded,"2519 Vogel Road, Evansville, IN 47711",37.988214,-87.518081,60000,0.002,IN5282002
Everton Water Corporation,Yes,No response,Unknown,Unknown,"5471 South State Road 1, Connersville, IN 47331",39.563092,-85.090129,775,Unknown,IN5221002
Fairmount Water Works,No,No response,Unknown,Unknown,"214 West Washington Street, Fairmount, IN 46928-1955",40.415755,-85.652415,1160,Unknown,IN5227005
Fairview Park Water Utilities,Yes,No response,Unknown,Unknown,"420 East 3rd Street P.O. Box 312, Clinton, IN 47842",39.68313,-87.408881,640,Unknown,IN5283006
Fairway Regional Water District,No,No response,Unknown,Unknown,"617 East 113th Place, Crown Point, IN 46307",41.411996,-87.328225,84,Unknown,IN5245009
Farmland Municipal Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 336, Farmland, IN 47340",40.187822,-85.127468,670,Unknown,IN5268002
Fawn River Crossing,Yes,0,0%,Recorded,"P.O. Box 270, Lagrange, IN 46761",41.641717,-85.416647,14,Unknown,IN5244001
Fayette Township Water Association,No,No response,Unknown,Unknown,"10300 South 75 West, Clinton, IN 47842",39.733528,-87.477798,834,Unknown,IN5284002
FCI & FPC - Terre Haute,Yes,No response,Unknown,Estimated,"4200 Bureau Road North, Terre Haute, IN 47808",39.414293,-87.451288,15,Unknown,IN5284018
Ferdinand Water Department,No,No response,Unknown,Unknown,"513 West 5th Street P.O. Box 7, Ferdinand, IN 47532",38.22097,-86.867226,965,Unknown,IN5219004
Finch Newton Water Inc,No,No response,Unknown,Unknown,"P.O. Box 115, Chrisney, IN 47611-0115",38.014773,-87.036386,710,Unknown,IN5274003
Flora Water Works,No,No response,Unknown,Unknown,"4 East Main Street, Flora, IN 46929",40.548104,-86.523737,995,Unknown,IN5208003
Floyds Knobs Water Company Inc,Yes,0,0%,Unknown,"7329 Voyles Road, Greenville, IN 47124",38.379554,-85.995005,2291,0.0064,IN5222002
Forest Oaks Mhc LLC,No,No response,Unknown,Unknown,"2503 Chicago Street Suite 4, Valaparaiso, IN 46304",41.472592,-87.029707,228,Unknown,IN5264003
Fort Branch Water Department,Yes,No response,Unknown,Unknown,"P. O. Box 40, Fort Branch, IN 47648-0040",38.238203,-87.560846,1407,0.031,IN5226001
Fort Wayne - 3 Rivers Filtration Plant,Yes,28000,28.98%,Estimated,"1100 Griswold Drive, Fort Wayne, IN 46805-4100",41.086406,-85.130029,96618,0.12,IN5202020
Fortville Water Works,No,No response,Unknown,Unknown,"714 East Broadway, Fortville, IN 46040-1557",39.934374,-85.840695,1700,Unknown,IN5230003
Fountain City Water Works,Yes,0,0%,Estimated,"P.O. Box 312, Fountain City, IN 47341",39.955603,-84.917462,344,Unknown,IN5289006
Fowler Water Works,No,No response,Unknown,Unknown,"307 East 5th Street, Fowler, IN 47944",40.617866,-87.320443,1119,Unknown,IN5204006
Francesville Water Department,No,No response,Unknown,Unknown,"P.O. Box 616, Francesville, IN 47946",40.985317,-86.879461,453,Unknown,IN5266001
Francisco Water Department,No,No response,Unknown,Unknown,"P.O. Box 66, Francisco, IN 47649-0066",38.332269,-87.445295,372,Unknown,IN5226002
Frankfort Water Works,Yes,1500,21.74%,Estimated,"2105 West Armstrong Road, Frankfort, IN 46041",40.266839,-86.539305,6900,0.012,IN5212003
Franklin County Water Association,Yes,0,0%,Unknown,"9112 State Road 1, Brookville, IN 47012",39.436259,-85.019425,3607,0.024,IN5224002
Frankton Water Works,No,No response,Unknown,Unknown,"P.O. Box 286, Frankton, IN 46044",40.223092,-85.780152,921,Unknown,IN5248008
Freelandville Water Association,Yes,0,0%,Recorded,"P.O. Box 321 A, Freelandville, IN 47535",38.865036,-87.305652,440,Unknown,IN5242006
Fremont Water Department,Yes,10,1.16%,Unknown,"P.O. Box 602, Fremont, IN 46737",41.730883,-84.93274,862,Unknown,IN5276006
Galveston Water Works,No,No response,Unknown,Unknown,"P.O. Box 597, Galveston, IN 46932",40.578928,-86.190272,639,Unknown,IN5209003
Garden City Mobile Home Park,No,No response,Unknown,Unknown,"4911 Rockville Road, Indianapolis IN 46241",39.763194,-86.243989,47,Unknown,IN5203005
Garrett Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 332, Garrett, IN 46738",41.349494,-85.135527,2250,0.007,IN5217004
Gas City Water Department,Yes,100,3.94%,Unknown,"200 East North ""A"" Street, Gas City, IN 46933",40.488842,-85.613099,2540,0.001,IN5227006
Gaston Water Works,No,No response,Unknown,Unknown,"P.O. Box 186, Gaston, IN 47342",40.313931,-85.500528,323,Unknown,IN5218008
Gatewood Estates,Yes,No response,Unknown,Unknown,"2403 US Highway 31 Lot 1A, Plymouth, IN 46563",41.44359,-86.318322,75,Unknown,IN5250012
Geneva Water Department,Yes,No response,Unknown,Estimated,"1866 East State Road 218, Geneva, IN 46711",40.655108,-85.037212,575,Unknown,IN5201003
Gentryville Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 261, Gentryville, IN 47537",38.104218,-87.033053,640,Unknown,IN5274004
George Ade Memorial Health Care Center,Yes,No response,Unknown,Unknown,"3623 East State Road 16, Brook, IN 47922",40.864737,-87.323209,1,Unknown,IN5256014
Georgetown Water Department,No,No response,Unknown,Unknown,"P.O. Box 127, Georgetown, IN 47122",38.294512,-85.975524,1300,Unknown,IN5222003
German Township Water District Inc,Yes,0,0%,Recorded,"2636 West Boonville New Harmony RE, Evansville, IN 47720",38.098387,-87.602553,4703,0.0031,IN5282003
Gibson Water Inc,Yes,0,0%,Estimated,"517 East 1250 South, Haubstadt, IN 47639",38.173478,-87.559104,1740,0.0032,IN5226009
Glen Eden Association,Yes,0,0%,Recorded,"175 Lane 200 Lake James, Angola, IN 46703",41.692287,-85.015358,48,Unknown,IN5276041
Glenn Hills Non-Profit Corp,Yes,No response,Unknown,Unknown,"3908 South Franks Lane, Selma, IN 47383-9730",40.157045,-85.29758,30,Unknown,IN5218020
Glenwood Water Works,Yes,0,0%,Unknown,"P.O. Box 102, Glenwood, IN 46133",39.625881,-85.300244,122,Unknown,IN5270002
Golden Acres Mobile Home Park,No,No response,Unknown,Unknown,"3184 North 100 East, Angola, IN 46703",41.691244,-84.967219,41,Unknown,IN5276036
Golden Pebbles Estates,No,No response,Unknown,Unknown,"3052 North Gary Street, New Castle, IN 47362",39.976996,-85.394166,150,Unknown,IN5233002
Goodland Water Works,No,No response,Unknown,Unknown,"P.O. Box 269, Goodland, IN 47948-0269",40.763373,-87.293633,494,Unknown,IN5256003
Goshen Water Utility,Yes,1600,15.37%,Estimated,"308 North 5th Street, Goshen, IN 46528-2802",41.589721,-85.83235,10407,0.0024,IN5220009
Gosport Water Utility,Yes,No response,Unknown,Unknown,"Town Hall P.O. Box 146, Gosport, IN 47433",39.349647,-86.664334,372,Unknown,IN5260003
Grabill Water Works,Yes,0,0%,Unknown,"P.O. Box 321, Grabill, IN 46741",41.210883,-84.966911,500,Unknown,IN5202006
Grandview Municipal Water Utility,Yes,0,0%,Unknown,"P.O. Box 638, Grandview, IN 47615",37.933663,-86.981106,322,Unknown,IN5274005
Grantsburg Rural Water Company,Yes,0,0%,Unknown,"3678 South Atkins Lane, Grantsburg, IN 47123",38.281269,-86.471697,100,Unknown,IN5213003
Grayfox Public Water Supply,Yes,0,0%,Recorded,"7405 Cinereal Court, Roanoke, IN 46783",41.015222,-85.332157,47,Unknown,IN5202030
Green Acres Mobile Home Park,No,No response,Unknown,Unknown,"800 IN-212, Michigan City, IN 46360",41.718824,-86.823744,227,Unknown,IN5243006
Greencastle Department Of Water,No,No response,Unknown,Unknown,"P.O. Box 288, Greencastle, IN 46135",39.64449,-86.864732,3802,Unknown,IN5267004
Greenfield Water Utility,Yes,No response,Unknown,Estimated,"451 Meek Street, Greenfield, IN 46140",39.780987,-85.766264,7677,0.005,IN5230004
Greensburg Municipal Water Works,Yes,0,0%,Recorded,"1105 North Ireland Street, Greensburg, IN 47240",39.347456,-85.489235,4796,0.0072,IN5216002
Greentown Municipal Water,Yes,No response,Unknown,Unknown,"P.O. Box 247, Greentown, IN 46936",40.478094,-85.966653,980,0.018,IN5234006
Greenville Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 188, Greenville, IN 47124",38.372564,-85.986359,1815,0.0015,IN5222004
Griffith Water Department,Yes,0,0%,Estimated,"111 North Broad Street, Griffith, IN 46319",41.523314,-87.42724,5796,0.0048,IN5245019
Hagerstown Mobile Home Court,No,No response,Unknown,Unknown,"472 Jones Road Lot 18, Hagerstown, IN 47346",39.91917,-85.152355,37,Unknown,IN5289007
Hagerstown Municipal Water Works,Yes,25,2.69%,Estimated,"49 East College Street, Hagerstown, IN 47346",39.911489,-85.161009,930,Unknown,IN5289008
Hamilton Estates,No,No response,Unknown,Unknown,"921 Ironwood Drive, Carmel, IN 46033",39.990378,-86.09984,44,Unknown,IN5229026
Hamilton Grove,No,No response,Unknown,Unknown,"31869 Chicago Trail, New Carlisle, IN 46552-9639",41.733706,-86.484886,26,Unknown,IN5271024
Hamilton Water Department,Yes,0,0%,Unknown,"900 South Wayne Street P.O. Box 249, Hamilton, IN 46742-0249",41.523278,-84.917231,985,Unknown,IN5276023
Hamlet Water Works,No,No response,Unknown,Unknown,"P.O. Box 181, Hamlet, IN 46532",41.380954,-86.582019,347,Unknown,IN5275001
Hammond Water Works Department,Yes,No response,Unknown,Unknown,"6505 Columbia Avenue, Hammond, IN 46320",41.59541,-87.499737,24115,0.0094,IN5245020
Hanover College,No,No response,Unknown,Unknown,"359 East LaGrange Road, Hanover, IN 47243",38.720999,-85.467447,109,Unknown,IN5239010
Hanover Water Department,No,No response,Unknown,Unknown,"11 Madison Avenue P.O. Box 288, Hanover, IN 47243",38.714164,-85.467087,1125,Unknown,IN5239003
Harris Hills Mobile Home Park,No,No response,Unknown,Unknown,"154 Chariot Drive, Anderson, IN 46013",40.079371,-85.699088,19,Unknown,IN5229011
Hartford City Water Works,No,No response,Unknown,Unknown,"700 North Walnut Street, Hartford City, IN 47348",40.456838,-85.369412,2508,Unknown,IN5205002
Haubstadt Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 365 101 South Main Street, Haubstadt, IN 47639-0365",38.205007,-87.574821,868,0.0188,IN5226003
Hayden Water Association,Yes,1102,100.00%,Unknown,"6970 West US Highway 50, North Vernon, IN 47265",38.976092,-85.739772,952,Unknown,IN5240005
Hazelton Water Department,No,No response,Unknown,Unknown,"107 North Main Street, Hazleton, IN 47640",38.489045,-87.542875,147,Unknown,IN5226004
Hebron Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 478, Hebron, IN 46341",41.318648,-87.200309,1376,0.0047,IN5264009
Heritage Hills Campground,Yes,0,0%,Recorded,"6055 Hertel Road, Brookville, IN 47012",39.385679,-85.045161,864,Unknown,IN5281029
Heritage Park Apartments,No,No response,Unknown,Unknown,"635 Ferry Street, Lafayette, IN 47901",40.419825,-86.8891,24,Unknown,IN5237008
Heritage Pointe,No,No response,Unknown,Unknown,"P.O. Box 326 801 Huntington Avenue, Warren, IN 46792",40.687314,-85.4299,1,Unknown,IN5235011
Hickory Manor Mobile Home Park,No,No response,Unknown,Unknown,"Huley Dr, North Vernon, IN 47265",39.014313,-85.644188,90,Unknown,IN5240012
Highland Water Works,Yes,461,5.07%,Estimated,"3333 Ridge Road, Highland, IN 46322",41.553655,-87.447973,9093,0.0017,IN5245021
Hill Water Corporation,Yes,0,0%,Estimated,"P.O. Box 339, Mooresville, IN 46158-0339",39.612824,-86.37416,2985,0.004,IN5255021
Hillsboro Water Utility,No,No response,Unknown,Unknown,"P.O. Box 126, Hillsboro, IN 47949",40.108371,-87.158989,280,Unknown,IN5223003
Hillsdale Water Corporation,No,No response,Unknown,Unknown,"P.O. Box 96, Hillsdale, IN 47854",39.785871,-87.390295,265,Unknown,IN5283007
Hilltop Farms LP (and Phase Two),Yes,No response,Unknown,Unknown,"1801 Smith Street, Logansport, IN 46947",40.770847,-86.347761,48,0.063,IN5252001
Hogan Water Corporation,Yes,No response,Unknown,Unknown,"409 2nd Street, Aurora, IN 47001",39.056558,-84.901661,478,0.0194,IN5215005
Holiday Woods Subdivision,No,No response,Unknown,Unknown,"P.O. Box 483, Angola, IN 46703",41.634773,-84.999409,90,Unknown,IN5276026
Holland Water Works,No,No response,Unknown,Unknown,"7288 Lauderdale Road, Dale, IN 47523",38.169748,-87.10373,545,Unknown,IN5219006
Holston Rentals,No,No response,Unknown,Unknown,"P. O. Box 151, Walkerton, IN 46574",41.466711,-86.483068,33,Unknown,IN5271029
Holton Community Water Corp,Yes,0,0%,Unknown,"36 North Old Michigan Road, Holton, IN 47023",39.075942,-85.348391,945,Unknown,IN5269008
Home Place Mobile Home Park - Well#1,No,No response,Unknown,Unknown,"2792 South Country Club, Warsaw, IN 46580",41.193838,-85.8241,40,Unknown,IN5243040
Honeysuckle (Fort Wayne Utilities),Yes,0,0%,Estimated,"1102 Griswold Drive, Fort Wayne, IN 46805-4100",41.086409,-85.130027,32,0.0453,IN5202012
Honeysuckle Mobile Home Park,No,No response,Unknown,Unknown,"305 West 700 North, Valparaiso, IN 46385",41.536202,-87.125034,18,Unknown,IN5245022
Hoosier Hills Regional Water District,Yes,0,0%,Unknown,"7215 East State Road 350 P.O. Box 395, Milan, IN 47031",39.133951,-85.130736,3483,0.0089,IN5269002
Hoosier Youth Challenge Academy,Yes,0,0%,Recorded,"10892 North State Road 140, Knightstown, IN 46148",39.766924,-85.516945,25,Unknown,IN5270007
Hope Water Department,Yes,0,0%,Unknown,"529 Mill Street P.O. Box 33, Hope, IN 47246",39.302044,-85.767772,830,Unknown,IN5203006
Hudson Water Works,No,No response,Unknown,Unknown,"P.O. Box 97, Hudson, IN 46747",41.532828,-85.081079,253,Unknown,IN5276022
Huntertown Water Works,Yes,0,0%,Unknown,"15617 Lima Road P.O. Box 95, Huntertown, IN 46748-0188",41.228502,-85.172422,3350,0.006,IN5202007
Huntingburg Municipal Water,Yes,45,1.83%,Estimated,"1101 West 6th Street, Huntingburg, IN 47542",38.294581,-86.985291,2459,0.0107,IN5219007
Huntington Water Department,Yes,No response,Unknown,Unknown,"2290 Engle Street, Huntington, IN 46750",40.855939,-85.498475,7516,0.0089,IN5235005
Hymera Water Works,Yes,0,0%,Estimated,"P.O. Box 421, Hymera, IN 47855",39.186324,-87.303477,418,Unknown,IN5277004
In Water Services Inc,Yes,0,0%,Unknown,"10996 Four Seasons Place Suite 100 G, Crown Point, IN 46307",41.418631,-87.236494,1659,0.005,IN5245057
Indian Springs Town Homes,No,No response,Unknown,Unknown,"13840 Jennings Lane, Crown Point, IN 46307",41.366807,-87.378197,32,Unknown,IN5246038
Indiana Academy,No,No response,Unknown,Unknown,"24815 State Road 19, Cicero, IN 46034",40.148586,-86.013021,18,Unknown,IN5229025
Indiana American Water - Crawfordsville,Yes,155,2.62%,Estimated,"809 Banjo Dr, Crawfordsville, IN 47933",40.0516,-86.845284,5919,0.001,IN5254005
Indiana American Water - Farmersburg,Yes,50,7.13%,Estimated,"100 W Main St, Farmersburg, IN 47850",39.253897,-87.379765,701,Unknown,IN5277003
Indiana American Water - Johnson County,Yes,778,2.57%,Recorded,"153 N Emerson Ave, Greenwood, IN 46143",39.619891,-86.081502,30226,0.002,IN5241005
Indiana American Water - Kokomo,Yes,986,4.70%,Recorded,"1700 E Superior St, Kokomo, IN 46901",40.486291,-86.110741,20974,0.002,IN5234007
Indiana American Water - Mecca,Yes,0,0%,Estimated,"4976 Wabash St, Mecca, IN 47860",39.726994,-87.331921,313,Unknown,IN5261004
Indiana American Water - Merom,Yes,0,0%,Estimated,"10839 W Co Rd 350 N, Merom, IN 47861",39.135696,-87.60502,136,Unknown,IN5277005
Indiana American Water - Mooresville,Yes,100,2.62%,Estimated,"425 W Main St, Mooresville, IN 46158",39.612737,-86.384027,3811,0.001,IN5255006
Indiana American Water - Muncie,Yes,1996,7.43%,Recorded,"1420 S Burlington Dr, Muncie, IN 47302",40.18224,-85.350136,26882,0.005,IN5218012
Indiana American Water - Newburgh,Yes,20,0.24%,Estimated,"98 W 1st St, Newburgh, IN 47630",37.948227,-87.405916,8433,0.002,IN5287004
Indiana American Water - Noblesville,Yes,249,1.59%,Estimated,"15227 Herriman Blvd, Noblesville, IN 46060",40.008358,-86.006377,15667,0.007,IN5229015
Indiana American Water - Northwest,Yes,35632,53.41%,Recorded,"650 Madison St, Gary, IN 46402",41.599334,-87.342584,66713,0.011,IN5245015
Indiana American Water - Richmond,Yes,4617,30.53%,Recorded,"1710 Sylvan Nook Dr, Richmond, IN 47374",39.854269,-84.879186,15121,0.014,IN5289012
Indiana American Water - Russiaville,Yes,0,0%,Recorded,"120 E Main St, Russiaville, IN 46979",40.417864,-86.271109,449,Unknown,IN5234008
Indiana American Water - S Indiana,Yes,233,0.74%,Estimated,"555 East County Line Road Suite 201, Greenwood, IN 46143",39.634274,-86.094017,31405,0.001,IN5210005
Indiana American Water - Seymour,Yes,20,0.27%,Estimated,"330 W Tipton St, Seymour, IN 47274",38.95712,-85.890949,7484,0.004,IN5236005
Indiana American Water - Shelbyville,Yes,593,8.91%,Unknown,"E Broadway St, Shelbyville, IN 46176",39.522928,-85.769484,6652,0.007,IN5273002
Indiana American Water - Somerset,Yes,0,0%,Unknown,"23 2nd St, Somerset, IN 46984",40.668723,-85.829446,93,Unknown,IN5285002
Indiana American Water - Sullivan,Yes,250,10.38%,Estimated,"198 W Washington St, Sullivan, IN 47882",39.095461,-87.409606,2409,0.005,IN5277009
Indiana American Water - Summitville,Yes,31,8.20%,Estimated,"536 N Main St, Summitville, IN 46070",40.340801,-85.644747,378,Unknown,IN5248010
Indiana American Water - Terre Haute,Yes,6500,26.76%,Recorded,"51 Locust St, Terre Haute, IN 47807",39.476828,-87.417317,24289,0.003,IN5284012
Indiana American Water - Wabash,Yes,595,13.50%,Estimated,"192 Stitt St, Wabash, IN 46992",40.803973,-85.826506,4406,0.005,IN5285003
Indiana American Water - Warsaw,Yes,262,5.40%,Estimated,"2420 Hidden Lake Dr, Warsaw, IN 46580",41.267062,-85.86017,4850,0.002,IN5243030
Indiana American Water - Waveland,Yes,13,5.91%,Estimated,"106 Cross St, Waveland, IN 47989",39.877119,-87.04498,220,Unknown,IN5254012
Indiana American Water - West Lafayette,Yes,0,0%,Estimated,"1007 Happy Hollow Rd, West Lafayette, IN 47906",40.434741,-86.898871,12176,0.001,IN5279020
Indiana American Water - Westwood,Yes,0,0%,Estimated,"1746 S Link St, New Castle, IN 47362",39.918911,-85.41874,63,Unknown,IN5279019
Indiana American Water - Winchester,Yes,1039,51.64%,Recorded,"870 IN-32, Winchester, IN 47394",40.171721,-84.96749,2012,0.005,IN5268003
Indiana American Water - Yankeetown,Yes,0,0%,Estimated,"7936 Yankeetown Rd, Newburgh, IN 47630",37.918637,-87.298211,650,Unknown,IN5287008
Indiana Masonic Home,Yes,0,0%,Estimated and Recorded,"690 State Street, Franklin, IN 46131",39.472929,-86.044727,62,0.0361,IN5241010
Ingalls Water Company,Yes,0,0%,Recorded,"P.O.  Box 277, Ingalls, IN 46048-0277",39.961898,-85.802537,1068,0.002,IN5248012
Inwood Estates,No,No response,Unknown,Unknown,"6501 Hickory Road, Plymouth, IN 46563",41.383768,-86.196494,22,Unknown,IN5250006
Ireland Utilities Inc,Yes,No response,Unknown,Unknown,"P.O. Box 83, Ireland, IN 47545-0098",38.414692,-86.9994,1610,0.005,IN5219008
J & T Water Company,No,No response,Unknown,Unknown,"4501 North Fruitridge Avenue, Terre Haute, IN 47805",39.520324,-87.360319,15,Unknown,IN5284005
J B Water Works Inc,No,No response,Unknown,Unknown,"P.O. Box 67, Laporte, IN 46352-0067",41.61,-86.72,119,Unknown,IN5246012
Jackson County Water - Reddington,Yes,No response,Unknown,Unknown,"11255 County Rd 1040 N, Seymour, IN 47274",39.031872,-85.831488,381,Unknown,IN5236008
Jackson County Water Utility,Yes,75,1.52%,Unknown,"1119 W Spring Street, Brownstown, IN 47220",38.886295,-86.057063,4919,0.005,IN5236003
Jamestown Municipal Water,No,No response,Unknown,Unknown,"P.O. Box 165, Jamestown, IN 46147",39.926711,-86.628893,487,Unknown,IN5206008
Jasonville Water Department,Yes,0,0%,Estimated,"304 West Main Street, Jasonville, IN 47438",39.162862,-87.201749,2200,0.023,IN5228004
Jasper Municipal Water Utility,Yes,2000,33.16%,Estimated,"P.O. Box 750, Jasper, IN 47547-0750",38.39,-86.93,6031,0.01,IN5219009
Jennings Northwest Regional Utility,Yes,0,0%,Recorded,"P.O. Box 18, North Vernon, IN 47265",39.007358,-85.625987,1220,0.0018,IN5240002
Jennings Water Inc,Yes,No response,Unknown,Unknown,"1595 East Buckeye Street, North Vernon, IN 47265",39.004777,-85.609716,3080,0.0052,IN5240006
Jonesboro Water Department,Yes,No response,Unknown,Unknown,"414 South Main Street, Jonesboro, IN 46938",40.481863,-85.628225,900,Unknown,IN5227010
Kendallville Water Department,Yes,540,15.22%,Estimated,"234 South Main Street, Kendallville, IN 46755",41.441466,-85.265577,3549,0.05,IN5257008
Kent Water Company (& Hanover College),No,No response,Unknown,Unknown,"P.O. Box 336, Hanover, IN 47243",38.714226,-85.473571,2700,Unknown,IN5239004
Kentland Water Works,Yes,0,0%,Estimated,"300 North 3rd Street, Kentland, IN 47951-1112",40.770441,-87.445495,899,Unknown,IN5256005
Kewanna Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 5 308 South Logan Street, Kewanna, IN 46939",41.016155,-86.414638,311,Unknown,IN5225003
Kingman Water Works,Yes,0,0%,Unknown,"P.O. Box 25, Kingman, IN 47952",39.96754,-87.277512,273,0.02,IN5223004
Kings Ridge Homeowners Association,No,No response,Unknown,Unknown,"3730 Litchfield Place, Lafayette, IN 47906",40.473632,-86.899842,34,Unknown,IN5279023
Kingsbury Utility Corporation,No,No response,Unknown,Unknown,"P.O. Box 254, Kingsbury, IN 46345",41.526211,-86.699816,103,Unknown,IN5246013
Kingsford Heights Water,No,No response,Unknown,Unknown,"P. O. Box 330, Kingsford Heights, IN 46346",41.476408,-86.693839,535,Unknown,IN5246014
Kirklin Water Department,Yes,0,0%,Unknown,"Town of Kirklin P.O. Box 147, Kirklin, IN 46050",40.192979,-86.359832,325,Unknown,IN5212004
Knightstown Water Utility,No,No response,Unknown,Unknown,"26 South Washington Street, Knightstown, IN 46148",39.794914,-85.524885,1052,Unknown,IN5233005
Knightsville Water Works,No,No response,Unknown,Unknown,"1096 East County Road 425 North, Center Point, IN 47840",39.449092,-87.087859,565,Unknown,IN5211006
Knox County Water Inc,Yes,No response,Unknown,Unknown,"654 North Anson Road, Vincennes, IN 47512",38.680979,-87.423293,1263,0.0136,IN5242018
Knox Water Works,Yes,600,39.66%,Estimated,"101 West Washington Street, Knox, IN 46534",41.302172,-86.619789,1513,0.0027,IN5275002
Kokomo Estates Mobile Home Park,No,No response,Unknown,Unknown,"4508 East 200 South, Kokomo, IN 46902",40.450835,-86.042313,182,Unknown,IN5234003
Kouts Water Works,Yes,0,0%,Estimated,"P.O. Box 693, Kouts, IN 46347",41.313045,-87.028229,783,0.022,IN5264013
Kozy Kourt Dba Silo Farms,Yes,0,0%,Unknown,"11112 North State Road 1, Ossian, IN 46777",40.904467,-85.166946,192,Unknown,IN5290004
L & M Regional Water District,Yes,0,0%,Unknown,"P.O. Box 127, Losantville, IN 47354",40.024213,-85.182743,187,Unknown,IN5268013
L-A-C Utilities,Yes,0,0%,Unknown,"1805 Burlington Beach Road, Valparaiso, IN 46383",41.507518,-87.03873,904,Unknown,IN5264033
Lacrosse Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 246, Lacrosse, IN 46348",41.31754,-86.891411,276,Unknown,IN5246015
