Unnamed: 0,Water System,respondent,num_lsl,pct_lsl,data_source,full_addr,lat,long,tot_num_serv_connects_sdwis,LCR_90thpctile,SDWIS PWS ID,PWSID,sys_name,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,Service Line Material is Unknown - Number of Service Connection,lead_gooseneck_serv_connects,lead_serv_line_serv_connects,"Lead only from Water Main to Property line, Curb or Shut-Off",lead_btwn_shutoff_house,owner_btwn_watermain_shutoff,"Ownership from curb, propertly line, or shut-off to home",e_r_leadportion,e_r_slmat,e_r_lead_gooseneck,E or R - Entire Service Line is Lead from the Water Main to home,e_r_lead_maintoshutoff,e_r_shutofftohouse,e_r_num_serv_connects,e_r_tot_sl_w_lead,conf_rec_no_lead,conf_rec_mat_unk,conf_rec_lead_gooseneck,conf_rec_lead_servline,conf_rec_lead_btwn_watermain_shutoff,conf_rec_lead_btw_shutoff_house,Confidence in Records - Total Number of Service Connection,conf_rec_tot_num_serv_lines_w_lead,_merge
93,Cedar Lake Water Works,Yes,No response,Unknown,Unknown,"8550 Lakeshore Drive, Cedar Lake, IN 46303",41.383493,-87.439459,1211,0.0028,IN5245047,IN5245047,CEDAR LAKE WATER WORKS,1255.0,,1255.0,,,,,,M,R,R,,,,,,,,8.0,,,,,,,,both
94,Center Point Water Works,Yes,10,3.94%,Estimated,"P.O. Box 177, Center Point, IN 47840",39.416986,-87.077236,254,Unknown,IN5211003,IN5211003,CENTER POINT WATER WORKS,250.0,10.0,200.0,40.0,5.0,,5.0,,P,R,E,E,E,E,E,E,E,E,7.0,7.0,5.0,,5.0,,8.0,5.0,both
95,Centerville Water Works,Yes,No response,Unknown,Unknown,"3831 Southwest N Street, Richmond, IN 47374",39.811425,-84.949606,1073,0.0051,IN5289003,IN5289003,CENTERVILLE WATER WORKS,1071.0,,,1071.0,,,,,M,R,,E,,,,,,,,10.0,,,,,,,both
96,Chain O Lakes Correctional Facility,No,No response,Unknown,Unknown,"302 West Washington Street IGCS Rm E334, Indianapolis, IN 46204",39.767985,-86.165241,6,Unknown,IN5257023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
97,Chalmers Water Works,No,No response,Unknown,Unknown,"P.O. Box 827, Chalmers, IN 47929",40.663093,-86.869457,240,Unknown,IN5291003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
98,Chandler Water Works Department,Yes,0,0%,Estimated,"101 Constitution Court, Chandler, IN 47610",38.033904,-87.382662,7000,0.0073,IN5287002,IN5287002,CHANDLER WATER WORKS DEPARTMENT,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,R,R,R,E,E,E,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,both
99,Charlestown Water Department,No,No response,Unknown,Unknown,"304 Main Cross, Charlestown, IN 47111",38.443689,-85.660999,2700,Unknown,IN5210003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
100,Charlestown/River Ridge,Yes,0,0%,Unknown,"6200 East Highway 62 Bldg. 2501, Jeffersonville, IN 47130",38.444905,-85.609168,66,0.0059,IN5210018,IN5210018,CHARLESTOWN/RIVER RIDGE,82.0,0.0,79.0,3.0,,,,,P,R,E,E,,,,,,,9.0,9.0,,,,,,,both
101,Chesterfield Water Department,No,No response,Unknown,Unknown,"17 Veterans Boulevard P.O. Box 95, Chesterfield, IN 46017",40.112866,-85.599557,1074,Unknown,IN5248004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
102,Chicagoland Christian Village,No,No response,Unknown,Unknown,"6685 E 117th Ave, Crown Point, IN 46307",41.404195,-87.254875,45,Unknown,IN5245062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
103,Chrisney Water Department,Yes,0,0%,Unknown,"P.O. Box 26, Chrisney, IN 47611",38.014773,-87.036386,325,Unknown,IN5274001,IN5274001,CHRISNEY WATER DEPARTMENT,358.0,0.0,358.0,,,,,,,,E,,,,,,,,9.0,,,,,,,,both
104,Churubusco Water Department,Yes,No response,Unknown,Estimated,"530 S Main St, Churubusco, IN 46723",41.226272,-85.318085,782,Unknown,IN5292003,IN5292003,CHURUBUSCO WATER DEPARTMENT,785.0,,755.0,30.0,0.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,R,E,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,both
105,Cicero Water Department,No,No response,Unknown,Unknown,"P.O. Box 391, Cicero, IN 46034",40.123926,-86.013318,2218,Unknown,IN5229005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
106,Citizens Water - Indianapolis,Yes,23482,7.25%,Estimated and Recorded,"2020 N Meridian St, Indianapolis, IN 46202",39.793951,-86.158245,323911,0.0142,IN5249004,IN5249004,CITIZENS WATER - INDIANAPOLIS,373532.0,23482.0,297818.0,52232.0,,20310.0,2849.0,323.0,R,R,E and R,E and R,E and R,E and R,E and R,E and R,R,E and R,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,both
107,Citizens Water - Morgan,Yes,0,0%,Estimated,"2039 E Morgan St, Martinsville, IN 46151",39.429339,-86.404097,1693,0.004,IN5255019,IN5255019,CITIZENS WATER - MORGAN,2247.0,0.0,2247.0,0.0,0.0,0.0,0.0,0.0,R,R,E,E,E,E,E,E,R,E,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,both
108,Citizens Water Of Westfield LLC,Yes,0,0%,Estimated,"714 E 161st St, Westfield, IN 46074",40.02167,-86.145146,12976,0.0063,IN5229009,IN5229009,"CITIZENS WATER OF WESTFIELD, LLC",13450.0,0.0,13450.0,0.0,0.0,0.0,0.0,0.0,R,R,E,E,E,E,E,E,R,E,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,both
109,City Of Bloomington Utilities,Yes,7000,27.52%,Estimated,"P.O. Box 1216, Bloomington, IN 47402",39.09,-86.47,25432,0.008,IN5253002,IN5253002,CITY OF BLOOMINGTON UTILITIES,25776.0,7000.0,15364.0,10412.0,,3500.0,1750.0,1750.0,M,R,R,R,E,E,E,E,E,E,9.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,both
110,City Of Georgetown (Illinois),No,No response,Unknown,Unknown,"106 Ferry Street, Cayuga, IN 47928",39.952251,-87.46192,15,Unknown,IN5283013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
111,City Of Greendale Utilities,Yes,551,29.00%,Estimated,"510 Ridge Avenue, Greendale, IN 47025",39.109552,-84.860813,1900,0.0047,IN5215003,IN5215003,CITY OF GREENDALE UTILITIES,1895.0,551.0,1344.0,0.0,551.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,R,E,7.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,both
112,City Of Lawrence Utilities,Yes,0,0%,Recorded,"9201 Harrison Park Court, Indianapolis, IN 46216",39.852262,-86.006178,14500,0.0035,IN5249005,IN5249005,CITY OF LAWRENCE UTILITIES,14933.0,0.0,14933.0,0.0,0.0,0.0,0.0,0.0,R,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
113,Clarks Hill Water Works,Yes,0,0%,Unknown,"P.O. Box 146, Clarks Hill, IN 47930",40.246981,-86.725006,280,Unknown,IN5279006,IN5279006,CLARKS HILL WATER WORKS,260.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,P,R,E,,,,,,R,,10.0,,,,,,10.0,,both
114,Clay City Water Works,No,No response,Unknown,Unknown,"P.O. Box 87, Clay City, IN 47841",39.276161,-87.113012,543,Unknown,IN5211004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
115,Claypool Water Works,No,No response,Unknown,Unknown,"P.O. Box 6, Claypool, IN 46510",41.129523,-85.880045,168,Unknown,IN5243002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
116,Clearview Resort,No,No response,Unknown,Unknown,"1200 South 6th Street, Monticello, IN 47960",40.727477,-86.777343,15,Unknown,IN5291006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
117,Clearwater Village Mobile Home Park,No,No response,Unknown,Unknown,"62430 Locust Rd, South Bend, IN 46614",41.590552,-86.280217,227,Unknown,IN5271012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
118,Clinton Township Water Company,Yes,0,0%,Estimated,"15495 South Rangeline Road, Clinton, IN 47842-7580",39.658985,-87.464104,840,Unknown,IN5283003,IN5283003,CLINTON TOWNSHIP WATER COMPANY,830.0,0.0,830.0,,0.0,0.0,0.0,0.0,P,R,E,,R,E,R,E,R,E,9.0,,9.0,9.0,8.0,9.0,9.0,8.0,both
119,Clinton Water Utility,Yes,0,0%,Estimated,"259 Vine Street, Clinton, IN 47842",39.660954,-87.39927,1954,0.0145,IN5283004,IN5283004,CLINTON WATER UTILITY,1964.0,0.0,500.0,1464.0,0.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,R,E,10.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,both
120,Cloverdale Water Works,No,No response,Unknown,Unknown,"P.O. Box 222, Cloverdale, IN 46120",39.514768,-86.793897,1020,Unknown,IN5267003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
121,Coachlight Mobile Home Court - Lots 1-18,No,No response,Unknown,Unknown,"3835 West Landis Road, Angola, IN 46703",41.666969,-85.064156,18,Unknown,IN5276033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
122,Cobus Green Mobile Home Park,No,No response,Unknown,Unknown,"54152 Ash Rd, Osceola, IN 46561",41.708332,-86.061797,349,Unknown,IN5220037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
123,Colfax Water Company,Yes,0,0%,Estimated,"208 West Main Street P.O. Box 326, Colfax, IN 46035",40.193802,-86.667924,269,Unknown,IN5212001,IN5212001,COLFAX WATER COMPANY,247.0,0.0,247.0,0.0,,0.0,0.0,0.0,M,R,R,E,,E,E,E,R,E,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,both
124,Colonial Mobile Court,No,No response,Unknown,Unknown,"6302 North 400 West, Michigan City, IN 46360",41.698393,-86.778175,59,Unknown,IN5246005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
125,Columbia City Water Department,Yes,1267,32.42%,Unknown,"920 East Van Buren, Columbia City, IN 46725",41.156811,-85.474818,3908,0.0326,IN5292004,IN5292004,COLUMBIA CITY WATER DEPARTMENT,3818.0,1267.0,2000.0,551.0,,577.0,290.0,400.0,M,R,E,,,E,E,E,,,8.0,,,6.0,5.0,6.0,,,both
126,Columbus Municipal Utility,Yes,2000,14.05%,Unknown,"P.O. Box 1987, Columbus, IN 47202-1987",39.2,-85.92,14230,0.0079,IN5203002,IN5203002,COLUMBUS MUNICIPAL UTILITY,15000.0,2000.0,12000.0,1000.0,2000.0,0.0,0.0,0.0,M,R,E,E,E,,,,,,8.0,,5.0,,,,,,both
127,Connersville Utilities,Yes,350,5.95%,Estimated,"P.O. Box 325, Connersville, IN 47331",39.641159,-85.141075,5883,0.0008,IN5221001,IN5221001,CONNERSVILLE UTILITIES,5920.0,350.0,5570.0,3700.0,335.0,0.0,15.0,0.0,M,R,R,E,E,E,E,E,R,E,10.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,both
128,Converse Water Works,No,No response,Unknown,Unknown,"4015 West 100 North, Huntington, IN 46750",40.843376,-85.531075,476,Unknown,IN5252006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
129,Cordry Sweetwater Conservancy District,Yes,0,0%,Unknown,"8377 Cordry Drive, Nineveh, IN 46164",39.31854,-86.115538,1356,0.0031,IN5207004,IN5207004,CORDRY SWEETWATER CONSERVANCY DISTRICT,1348.0,0.0,1248.0,100.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,R,E,,,8.0,5.0,8.0,9.0,10.0,7.0,,,both
130,Corunna Water Utility,Yes,0,0%,Unknown,"P.O. Box 62, Corunna, IN 46730",41.437272,-85.147193,94,Unknown,IN5217008,IN5217008,CORUNNA WATER UTILITY,100.0,0.0,100.0,,,,,,M,R,R,,,,,,,,8.0,,,,,,,,both
131,Corydon Water Works,No,No response,Unknown,Unknown,"113 North Oak Street, Corydon, IN 47112",38.210999,-86.12753,2300,Unknown,IN5231001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
132,Country Acres Association,No,No response,Unknown,Unknown,"995 Paradise Lane Lot 28, Decatur, IN 46733",40.805192,-84.955112,38,Unknown,IN5201023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
133,Country Acres Mobile Home Park,Yes,No response,Unknown,Unknown,"9500 North Wheeling Avenue Box 100, Muncie, IN 47304",40.274867,-85.432009,100,Unknown,IN5218003,IN5218003,COUNTRY ACRES MOBILE HOME PARK,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,both
134,Country Court Estates,Yes,0,0%,Unknown,"10744 US-27, Fort Wayne, IN 46816",40.98512,-85.090865,250,Unknown,IN5202003,IN5202003,COUNTRY COURT ESTATES,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,P,P,R,R,R,R,R,R,,,10.0,10.0,10.0,10.0,10.0,10.0,,,both
135,Country Estates Mobile Home Park,No,No response,Unknown,Unknown,"4410 West Old State Road 28, Frankfort, IN 46041-7126",40.278539,-86.483079,60,Unknown,IN5212002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
136,Country Manor Estates,No,No response,Unknown,Unknown,"13174 North Gasburg Road, Mooresville, IN 46158",39.617641,-86.437274,511,Unknown,IN5255017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
137,Country Meadows Mobile Home Park,No,No response,Unknown,Unknown,"929 Monarch Ln, Rochester, IN 46975",41.051105,-86.229424,28,Unknown,IN5220031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
138,Country Retreat MHC LLC,Yes,No response,Unknown,Unknown,"1210 South Q Street, Richmond, IN 47374",39.807889,-84.887116,22,Unknown,IN5289001,IN5289001,"COUNTRY RETREAT MHC, LLC",22.0,,22.0,,,,,,M,R,R,,,,,,,,10.0,,,,,,,,both
139,Country Squire Mobile Home Park Inc,No,No response,Unknown,Unknown,"8555 South Pugsley Road Lot #2, Daleville, IN 47334",40.116589,-85.472695,17,Unknown,IN5218004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
140,Country View Estates,No,No response,Unknown,Unknown,"1199 Hospital Rd #52, Franklin, IN 46131",39.47753,-86.08003,20,Unknown,IN5254019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
141,Country Village Apartments,Yes,No response,Unknown,Unknown,"1732 East National Avenue, Brazil, IN 47834",39.528874,-87.104773,36,Unknown,IN5232012,IN5232012,COUNTRY VILLAGE APARTMENTS,2.0,,2.0,,,,,,P,P,R,,,,,,R,,10.0,,,,,,10.0,,both
142,Countryside Estate Mobile Home Park,Yes,0,0%,Unknown,"1500 E Fuson Rd, Muncie, IN 47302",40.151221,-85.369925,68,Unknown,IN5273005,IN5273005,COUNTRYSIDE ESTATE MOBILE HOME PARK,60.0,0.0,55.0,5.0,0.0,0.0,0.0,0.0,P,P,R,E,R,R,R,R,,,9.0,9.0,10.0,10.0,10.0,10.0,,,both
143,Countryview Farms,No,No response,Unknown,Unknown,"5900 W Co Rd 350 N #45, Muncie, IN 47304",40.241307,-85.455881,147,Unknown,IN5218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
144,County Line Mobile Home Park,No,No response,Unknown,Unknown,"311 Lockerbie Pl, Fairmount, IN 46928",40.380081,-85.653725,38,Unknown,IN5227003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
145,Covington Water Department,Yes,No response,Unknown,Unknown,"1329 2nd Street P.O. Box 248, Covington, IN 47932",40.146306,-87.40049,1247,Unknown,IN5223002,IN5223002,COVINGTON WATER DEPARTMENT,1258.0,,,1258.0,,,,,M,R,,,,,,,,,,,,,,,,,both
146,Crane Water Works,No,No response,Unknown,Unknown,"23148 Harper Hill Road, Loogootee, IN 47553",38.836498,-86.898805,125,Unknown,IN5251002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
147,Crawford County Water Company Inc,Yes,No response,Unknown,Unknown,"293 North State Road 66, Marengo, IN 47140",38.342505,-86.354587,960,Unknown,IN5213001,IN5213001,"CRAWFORD COUNTY WATER COMPANY, INC.",,,951.0,,,,,,P,R,R,,,,,,,,10.0,,,,,,,,both
148,Creekside Manor Mobile Home Park,No,No response,Unknown,Unknown,"P.O. Box 249, Lapaz, IN 46537",41.457827,-86.307881,42,Unknown,IN5250007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
149,Creekside Mobile Home Park,No,No response,Unknown,Unknown,"102 Millers Dr, Mentone, IN 46539",41.174742,-86.048577,58,Unknown,IN5273004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
150,Crescent Hills Mobile Home Park,No,No response,Unknown,Unknown,"1801 W Market, Logansport IN 46947",40.756121,-86.395374,47,Unknown,IN5209011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
151,Cromwell Water Works,No,No response,Unknown,Unknown,"P.O. Box 574, Cromwell, IN 46732",41.400604,-85.615818,235,Unknown,IN5257004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
152,Crossings Mobile Home Park,Yes,0,0%,Recorded,"5333 Wilson Place, Merrillville, IN 46410 ",41.521659,-87.378177,42,Unknown,IN5245014,IN5245014,CROSSINGS MOBILE HOME PARK,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
153,Crothersville Utilities,No,No response,Unknown,Unknown,"111 East Howard Street, Crothersville, IN 47229",38.795334,-85.840883,750,Unknown,IN5236001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
154,Crown Point Water Works,No,No response,Unknown,Unknown,"705 Industrial Boulevard, Crown Point, IN 46307",41.424426,-87.345938,13048,Unknown,IN5245008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
155,Culver Educational Foundation,No,No response,Unknown,Unknown,"1300 Academy Road #154, Culver, IN 46511",41.225093,-86.404714,50,Unknown,IN5250004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
156,Culver Water Department,No,No response,Unknown,Unknown,"200 East Washington, Culver, IN 46511",41.217726,-86.422523,850,Unknown,IN5250005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
157,Culvers Hill - North Webster,No,No response,Unknown,Unknown,"104 South Main Street, Nappanee, IN 46550",41.44244,-86.001613,44,Unknown,IN5243005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
158,Cynthiana Water Works,No,No response,Unknown,Unknown,"P.O. Box 95, Cynthiana, IN 47612",38.187544,-87.710303,270,Unknown,IN5265004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
159,Dale Water Works,No,No response,Unknown,Unknown,"P.O. Box 117, Dale, IN 47523",38.168942,-86.989997,654,Unknown,IN5274002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
160,Daleville (Town Of),Yes,No response,Unknown,Unknown,"8019 South Walnut P.O. Box 567, Daleville, IN 47334",40.121361,-85.558114,714,Unknown,IN5218027,IN5218027,DALEVILLE (TOWN OF),714.0,,,714.0,,,,,M,R,,,,,,,,,,,,,,,,,both
161,Dana Water Works,No,No response,Unknown,Unknown,"104 Maple Street P.O. Box 371, Dana, IN 47847",39.804535,-87.494653,15,Unknown,IN5283005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
162,Danville Water Works,Yes,100,3.03%,Estimated and Recorded,"49 North Wayne Street, Danville, IN 46122",39.761462,-86.52013,3300,0.005,IN5232004,IN5232004,DANVILLE WATER WORKS,3500.0,100.0,3500.0,0.0,100.0,0.0,0.0,0.0,M,P,E and R,E and R,E and R,E and R,E and R,E and R,E and R,E and R,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,both
163,Darlington Water,Yes,0,0%,Recorded,"222 W Main St, Darlington, IN 47940",40.109903,-86.776572,317,Unknown,IN5254003,IN5254003,DARLINGTON WATER,319.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,P,P,R,R,R,R,R,R,R,R,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,both
164,Daviess County Rural Water,Yes,No response,Unknown,Unknown,"P.O. Box 129, Washington, IN 47501-0129",38.659215,-87.172789,2847,0.0036,IN5214002,IN5214002,DAVIESS COUNTY RURAL WATER,3000.0,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,both
165,Dayton Water Utility,Yes,0,0%,Unknown,"P.O. Box 557, Dayton, IN 47941-0557",40.377537,-86.775571,535,Unknown,IN5279021,IN5279021,DAYTON WATER UTILITY,536.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,M,R,R,,,,,,,,8.0,,,,,,,,both
166,Decatur Co Water Corp,No,No response,Unknown,Unknown,"3455 Old North US Highway 421, Greensburg, IN 47240",39.386711,-85.548512,1090,Unknown,IN5216008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
167,Decatur Water Department,Yes,2300,51.57%,Estimated,"172 North 2nd Street, Decatur, IN 46733",40.831282,-84.924047,4460,0.0077,IN5201002,IN5201002,DECATUR WATER DEPARTMENT,4400.0,2300.0,2000.0,100.0,0.0,2000.0,200.0,100.0,M,R,E,E,E,E,E,E,E,E,4.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,both
168,Decker Water Works,Yes,0,0%,Recorded,"8 Julius P.O. Box 275, Freelandville, IN 47535",38.861196,-87.302036,109,Unknown,IN5242004,IN5242004,DECKER WATER WORKS,0.0,0.0,,109.0,0.0,0.0,0.0,0.0,,,,,R,R,R,R,R,R,,,1.0,1.0,1.0,1.0,1.0,1.0,both
169,Deer Creek Estates Home Water Assoc,Yes,0,0%,Recorded,"P.O. Box 382, Galveston, IN 46932",40.578928,-86.190272,98,Unknown,IN5252007,IN5252007,DEER CREEK ESTATES HOME WATER ASSOC.,86.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.0,both
170,Deerwood Mobile Home Park,No,No response,Unknown,Unknown,"4016 Lincoln Boulevard, Marion, IN 46953",40.52091,-85.64088,56,Unknown,IN5227004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
171,Delaware Acres MHC,Yes,No response,Unknown,Unknown,"9901 State Road 3 North Lot 4, Muncie, IN 47303",40.238831,-85.367726,128,Unknown,IN5218005,IN5218005,DELAWARE ACRES MHC,128.0,,128.0,,,,,,P,P,R,,,,,,,,10.0,,,,,,,,both
172,Delphi Water Works,Yes,No response,Unknown,Unknown,"201 South Union Street, Delphi, IN 46923-1594",40.586369,-86.67237,1200,Unknown,IN5208002,IN5208002,DELPHI WATER WORKS,1200.0,,400.0,800.0,,,,,M,R,E,E,,,,,E,,5.0,5.0,,,,,,,both
173,Dillsboro Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 127, Dillsboro, IN 47018",39.017835,-85.058843,790,0.0243,IN5215002,IN5215002,DILLSBORO WATER WORKS,790.0,,790.0,,,,,,M,R,,,,,,,,,,,,,,,,,both
174,Dixon Woods Apartments,No,No response,Unknown,Unknown,"540 North Liberty Street, Russiavillle, IN 46979",40.423673,-86.272247,24,Unknown,IN5234011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
175,Dublin Municipal Water Works,Yes,0,0%,Recorded,"2250 East Cumberland St P.O. Box 145, Dublin, IN 47335",39.812202,-85.208306,401,Unknown,IN5289005,IN5289005,DUBLIN MUNICIPAL WATER WORKS,428.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
176,Dubois Water Utilities,Yes,0,0%,Recorded,"5470 East Waterworks Street, Dubois, IN 47527-9767",38.441313,-86.805359,3452,0.0092,IN5219002,IN5219002,DUBOIS WATER UTILITIES,3427.0,0.0,3427.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
177,Duff Water Corporation,Yes,0,0%,Estimated,"6675 West 450 South, Huntingburg, IN 47542",38.315528,-87.031111,330,Unknown,IN5219003,IN5219003,DUFF WATER CORPORATION,330.0,0.0,0.0,330.0,,,,,P,R,E,E,,,,,,E,10.0,10.0,,,,,,10.0,both
178,Dugger Utilities,No,No response,Unknown,Unknown,"P.O. Box 146, Dugger, IN 47848",39.070043,-87.261404,843,Unknown,IN5277002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
179,Duneland Beach Association,Yes,20,10.10%,Estimated,"3303 LaSalle Trail, Michigan City, IN 46360",41.75356,-86.830917,198,Unknown,IN5246008,IN5246008,DUNELAND BEACH ASSOCIATION,198.0,20.0,178.0,,20.0,,0.0,0.0,M,P,R,,E,,R,E,,E,10.0,,8.0,,10.0,8.0,,8.0,both
180,Dunkirk Water Department,No,No response,Unknown,Unknown,"312 North Meridian Street, Dunkirk, IN 47336",40.377502,-85.210615,1033,Unknown,IN5238001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
181,Dupont Water Company,No,No response,Unknown,Unknown,"P.O. Box 600, Dupont, IN 47231",38.890056,-85.51413,1525,Unknown,IN5240004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
182,Dyer Water Department,No,No response,Unknown,Unknown,"One Town Square, Dyer, IN 46311",41.493349,-87.520381,7180,Unknown,IN5245011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
183,Eagles Nest Estates,No,No response,Unknown,Unknown,"877 East US 6 - Office, Ligonier, IN 46767",41.45386,-85.573649,129,Unknown,IN5257006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
184,Eagletown Estates Mobile Home Park,No,No response,Unknown,Unknown,"17707 Eagletown Rd #38, Westfield, IN 46074",40.043674,-86.192652,38,Unknown,IN5229023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
185,Earl Park Municipal Water Utility,No,No response,Unknown,Unknown,"P.O. Box 67, Earl Park, IN 47942",40.683663,-87.415632,170,Unknown,IN5204003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
186,East Chicago Water Works,Yes,9000,100.00%,Estimated,"3455 Pennsylvania Avenue, East Chicago, IN 46312",41.651043,-87.445302,7200,0.0084,IN5245012,IN5245012,EAST CHICAGO WATER WORKS,11000.0,9000.0,,2000.0,,4000.0,1000.0,4000.0,P,R,,E,,E,E,E,E,E,,,,,,,,,both
187,East Fork Water,Yes,0,0%,Unknown,"P.O. Box 488, Shoals, IN 47581",38.664884,-86.792466,1235,Unknown,IN5251004,IN5251004,EAST FORK WATER,1276.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,P,R,R,,R,R,R,E,,,10.0,8.0,10.0,10.0,10.0,9.0,,9.0,both
188,East Lawrence Water Authority,Yes,0,0%,Unknown,"1009 Crawford Drive, Bedford, IN 47421",38.868682,-86.455177,3101,0.0096,IN5247002,IN5247002,EAST LAWRENCE WATER AUTHORITY,3172.0,0.0,3172.0,0.0,0.0,0.0,0.0,0.0,P,R,,,,,,,,,,,,,,,,,both
189,East Monroe Water Corporation,Yes,No response,Unknown,Unknown,"3428 South Knightridge Road, Bloomington, IN 47401",39.129492,-86.443816,1383,0.0012,IN5253003,IN5253003,EAST MONROE WATER CORPORATION,1380.0,,1380.0,,,,,,P,R,R,,,,,,,,10.0,,,,,,,,both
